topic,normalized_stem,drive_paths,local_match,reason
ai_governance,governance by denial jpp,G:\Mon disque\Governance by Denial-JPP.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,how this dashboard enhances ai transparency and responsibility,G:\Mon disque\How This Dashboard Enhances AI Transparency and Responsibility.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,l echec comme diagnostic institutionnel,G:\Mon disque\L’échec comme diagnostic institutionnel.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,martin lepage governance tree,G:\Mon disque\martin_lepage_governance_tree.html,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,misfit as method ten diagnostic scenes of institutional failure,G:\Mon disque\Misfit as Method  Ten Diagnostic Scenes of Institutional Failure.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,model card for ex libris ai,G:\Mon disque\Model Card for Ex Libris AI.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,model card for ex libris ai2,G:\Mon disque\Model Card for Ex Libris AI2.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,project design and present a responsible ai solution pack,G:\Mon disque\Project  Design & Present a Responsible AI Solution Pack.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,responsible ai governance pack,G:\Mon disque\AI\Responsible AI Governance Pack.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,responsible ai presentation challenge movelogix,G:\Mon disque\Responsible AI Presentation Challenge (MoveLogix).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,responsible ai risk identification and mitigation,G:\Mon disque\Responsible AI  Risk Identification and Mitigation.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,responsible ai services menu cad,G:\Mon disque\AI\Responsible AI Services Menu (CAD).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,responsible ai transparency and ethics,G:\Mon disque\Responsible AI  Transparency & Ethics.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,sealed card protocol merged with audit appendices,G:\Mon disque\Sealed_Card_Protocol_MERGED_with_Audit_Appendices_v3.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,strategic ai governance,G:\Mon disque\Strategic AI Governance.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,stuttering machines algorithmic dysfluency and the ethics of interruption,G:\Mon disque\Shared with ChatGPT\Papers\Stuttering Machines  Algorithmic Dysfluency and the Ethics of Interruption.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
ai_governance,subject practical ai governance you can ship,G:\Mon disque\AI\Subject  Practical AI governance you can ship.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,cover perle,G:\Mon disque\cover Perle.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,cover transition,G:\Mon disque\cover Transition .gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,fmslepage bio,G:\Mon disque\FMSLEPAGE bio.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,lepage ai cv 2026 commercial hireable,G:\Mon disque\LEPAGE.AI.CV.2026.commercial-hireable.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,lepage cv ciscoelits,G:\Mon disque\LEPAGE.CV.CiscoELITS.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,martin lepage cv en2026,G:\Mon disque\Resumes&Jobs\Martin_Lepage_CV_EN2026.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
cv_resume,martin lepage resume,G:\Mon disque\martin_lepage_resume.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,index 1,F:\Mon disque\PHAROS-ai.ca\index (1).html,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,legible power livable futures,"F:\Mon disque\PHAROS-ai.ca\LEGIBLE POWER, LIVABLE FUTURES.gdoc",,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,martin lepage governance tree,F:\Mon disque\PHAROS-ai.ca\martin_lepage_governance_tree.html,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,miro from ai anxiety to recursive govern,F:\Mon disque\PHAROS-ai.ca\MIRO-From AI Anxiety to Recursive Govern.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,pharos eval,G:\Mon disque\PHAROS EVAL.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,pharos recalibration,G:\Mon disque\pharos_recalibration.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,real ai governance failures and incidents with references,F:\Mon disque\PHAROS-ai.ca\🔴 Real AI Governance Failures & Incidents (With References).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,recurso draft1,F:\Mon disque\PHAROS Method\RECURSO-DRAFT1.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,spec 1 ai governance engine,F:\Mon disque\PHAROS Method\SPEC-1-AI Governance Engine.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,spec 1 ai governance engine 1,F:\Mon disque\PHAROS Method\SPEC-1-AI Governance Engine (1).pdf,,Topical Drive file has no matching normalized stem in scanned local paths.
pharos,the violet gem,F:\Mon disque\PHAROS Method\THE VIOLET GEM.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,abejarano reseдas,"G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\abejarano,+Reseдas.pdf",,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,annotated reviewer comments,G:\Mon disque\Annotated_Reviewer_Comments.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,annotated thematic bibliography,G:\Mon disque\Annotated Thematic Bibliography.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,astrology as social grammar youth culture s re enchantment of the zodiac,G:\Mon disque\Astrology as Social Grammar  Youth Culture’s Re-enchantment of the Zodiac.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,astrology as social grammarfullchapter,G:\Mon disque\Astrology as Social GrammarFULLChapter.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,background and context,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\## Background and context.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,benkler,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\benkler.pdf,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,chapter 6 magic as ontological coherence,G:\Mon disque\Chapter 6 – Magic as Ontological Coherence.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,chapter four harmony kendall fugitive belonging and the camp of double life,G:\Mon disque\Shared with ChatGPT\BOOKS\BUFFY BOOK\Chapter Four — Harmony Kendall  Fugitive Belonging and the Camp of Double Life.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,chapter one willow rosenberg recursion and saturated grief,G:\Mon disque\Shared with ChatGPT\BOOKS\BUFFY BOOK\Chapter One — Willow Rosenberg  Recursion and Saturated Grief.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compress without opacity,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\Compress without opacity.gdoc || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\Compress without opacity.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compress without opacity 1,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\Compress without opacity (1).docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compress without opacity 2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\Compress without opacity (2).docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compress without opacity draft2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\Compress without Opacity-DRAFT2.gdoc || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\Compress without Opacity-DRAFT2.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compress without opacity first,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\Compress without opacity-First draft.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq backup 20260228 161530,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL-BACKUP-20260228-161530.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq backup 20260228 164858,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL-BACKUP-20260228-164858.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq backup 20260228 165347,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL-BACKUP-20260228-165347.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq cited 20260228 164858,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL-CITED-20260228-164858.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq cited 20260228 165347,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-FINAL-CITED-20260228-165347.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopaq true,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-TRUE.odt || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\CompressOpaq-TRUE.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,compressopcv3,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\CompressOPCv3.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,conceptual framework and methods,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\conceptual_framework_and_methods.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,deep research report,F:\Mon disque\Research papers\Recurso-paper\deep-research-report.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,desc sakura,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\desc-SAKURA.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,discussion and conclusion,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\discussion_and_conclusion.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,ex governed,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\ex.governed.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,guidelines synthese,G:\Mon disque\Submission guidelines SYNTHESE.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,insert,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\final insert.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,introduction,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\introduction.docx || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\introduction.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,jenni ref 2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\JENNI REF 2.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,jenni ref 3,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\JENNI REF 3.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,jenni ref1,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\JENNI REF1.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,jrt guide,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\JRT-guide.pdf,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,literature review,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\literature_review.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,log sakura,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\LOG-SAKURA.txt || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\LOG-SAKURA.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,manuscript readiness checklist,G:\Mon disque\codex-skills\peer-reviewed-paper-writer\references\manuscript-readiness-checklist.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,martin voice spec official,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\Martin Voice Spec v3 OFFICIAL.gdoc || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\Martin Voice Spec v3 OFFICIAL.pdf,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,martin voice specs 1,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\martin_voice_specs (1).txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,master reference list,F:\Mon disque\Research papers\Recurso-paper\Master Reference List.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,paper in the works,G:\Mon disque\Shared with ChatGPT\Papers\Paper in the works.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,proposition d article sociologie et societes,G:\Mon disque\Proposition d’article -  Sociologie et sociétés.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,recurso draft1,F:\Mon disque\Research papers\Recurso-paper\RECURSO-DRAFT1.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,reviewer response template,G:\Mon disque\codex-skills\peer-reviewed-paper-writer\assets\reviewer-response-template.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura input 2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA Input 2.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura kept output 1,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA KEPT OUTPUT 1.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura kept output 2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA KEPT OUTPUT 2.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura kept output 3,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA KEPT OUTPUT 3.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura kept output 4,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA KEPT OUTPUT 4.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura layer 1,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 1.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura layer 1v2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 1v2.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura layer 2,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 2.txt || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 2.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura layer 3,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 3.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sakura layer 4,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 4.txt || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SAKURA LAYER 4.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealdcard firstdraft,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SEALDCARD-FIRSTDRAFT.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol,G:\Mon disque\Sealed_Card_Protocol_FINAL.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol rewrite 9000 words,G:\Mon disque\Sealed_Card_Protocol_Rewrite_9000_words.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol rewrite 9000 words 1,G:\Mon disque\Sealed_Card_Protocol_Rewrite_9000_words (1).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol rewrite 9000 words 2,G:\Mon disque\Sealed_Card_Protocol_Rewrite_9000_words (2).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol rewrite 9000 words 3,G:\Mon disque\Sealed_Card_Protocol_Rewrite_9000_words (3).gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,sealed card protocol rewrite 9000 words merged,G:\Mon disque\Sealed_Card_Protocol_Rewrite_9000_words_MERGED.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,skill,G:\Mon disque\codex-skills\peer-reviewed-paper-writer\SKILL.md,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,soft with teeth,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\SOFT WITH TEETH.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,speaking in signs astrology as social grammar in contemporary digital culture,G:\Mon disque\Speaking in Signs  Astrology as Social Grammar in Contemporary Digital Culture.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,the seal card protocol for claude,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\SAKURA-SC1\The Seal Card Protocol-For Claude.txt,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,triangulation,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\triangulation.gdoc,,Topical Drive file has no matching normalized stem in scanned local paths.
research_paper,visibility,G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\Compress without Opacity\VISIBILITY.gdoc || G:\Mon disque\AI\SEALED CARD MASTER MARKDOWN\COMPRESS\VISIBILITY.docx,,Topical Drive file has no matching normalized stem in scanned local paths.
